116;Mołdawia;Europa;33843;4324450
17;Belgia;Europa;30528;10584534
95;Lesotho;Afryka;30355;2031348
9;Armenia;Azja;29800;3259100
2;Albania;Europa;28748;3195000
190;Wyspy Salomona;Australia i Oceania;28450;552000
62;Gwinea Równikowa;Afryka;28051.46;616459
29;Burundi;Afryka;27830;8691000
63;Haiti;Ameryka Północna;27750;8925000
143;Rwanda;Afryka;26338;10186000
103;Macedonia Północna;Europa;25713;2061000
41;Dżibuti;Afryka;23200;506221
18;Belize;Ameryka Północna;22966;266440
73;Izrael;Azja;22072;7653600
147;Salwador;Ameryka Północna;21040;6820000
156;Słowenia;Europa;20273;2039399
48;Fidżi;Australia i Oceania;18272;849000
93;Kuwejt;Azja;17818;2597000
46;Eswatini;Afryka;17363;1138227
169;Timor Wschodni;Azja;15007;1109000
13;Bahamy;Ameryka Północna;13940;307451
35;Czarnogóra;Europa;13812;672180
181;Vanuatu;Australia i Oceania;12189;243304
81;Katar;Azja;11437;928635
53;Gambia;Afryka;11295;1690000
74;Jamajka;Ameryka Północna;10991;2700000
96;Liban;Azja;10452;3925502
33;Cypr;Azja;9250;794600
26;Brunei;Azja;5770;381371
172;Trynidad i Tobago;Ameryka Południowa;5128;1229000
140;Republika Zielonego Przylądka;Afryka;4033;499796
148;Samoa;Australia i Oceania;2944;177714
101;Luksemburg;Europa;2586;474413
87;Komory;Afryka;2170;671247
112;Mauritius;Afryka;2045;1230602
191;Wyspy Świętego Tomasza i Książęca;Afryka;1001;193410
85;Kiribati;Australia i Oceania;811;103092
39;Dominika;Ameryka Północna;754;72000
171;Tonga;Australia i Oceania;748;119009
114;Mikronezja;Australia i Oceania;702;135000
154;Singapur;Azja;692.7;4608000
14;Bahrajn;Azja;620;1323535
145;Saint Lucia;Ameryka Północna;616;164213
131;Palau;Australia i Oceania;508;20800
4;Andora;Europa;468;84525
152;Seszele;Afryka;455;86525
6;Antigua i Barbuda;Ameryka Północna;435.3;85420
16;Barbados;Ameryka Północna;431;281968
146;Saint Vincent i Grenadyny;Ameryka Północna;389;119000
56;Grenada;Ameryka Północna;344;89258
109;Malta;Europa;316;403532
106;Malediwy;Azja;300;396334
144;Saint Kitts i Nevis;Ameryka Północna;261;38819
189;Wyspy Marshalla;Australia i Oceania;181;59071
99;Liechtenstein;Europa;160;34761
149;San Marino;Europa;61.6;31817
176;Tuvalu;Australia i Oceania;26;12373
121;Nauru;Australia i Oceania;21.3;14019
117;Monako;Europa;1.95;32796
182;Watykan;Europa;0.44;824
